Feature,Unscaled Coefficients (B)
content1,0.012832682638650368
content2,0.0009993566949576997
content3,0.01459752577126676
content4,0.0341746897558085
content5,-0.018164866777375704
content6,0.041245724445315025
content7,0.03649805454597385
content8,-0.0
content9,0.061106866056439516
content10,-0.015285203995877789
content11,0.00588850405607853
content12,0.01817312009589743
content13,0.03018152160249233
content14,-0.013028050702177676
content15,-0.004637369878971434
content16,0.0120863392170905
content17,0.0
content18,0.025357076716209615
content19,-0.0
content20,-0.010400311182484119
content21,0.0011768256528172608
content22,0.0007476071572449876
content23,0.004236801453041194
content24,0.03118623231996712
publication_year,-0.5474083353491236
current_year,0.4179469496380265
inventor_number,0.018906296113333887
classfication_nums,0.23917894604284803
active_area_number,0.1745471308638095
non_active_area_number,0.10591488227141813
pantent_catation_nums,0.26017860288339584
current_similar_by,-0.051462487441676405
current_application_event,0.24643707220990402
current_application_claiming_priority,-0.022433345159125078
current_legal_event,0.0
current_priority_application,-0.20414700384535142
current_application,0.04575141049871237
